origin,origin_stop_name,destination,dest_stop_name,travel_time_formatted,num_transfers,path_length_stops,travel_time_seconds
LTFRB_2804,"Bilibid Rd, Muntinlupa City, Manila",LTFRB_3841,"General Ordoñez Ave, Marikina City, Manila",02:51:37,11,128,10297.0
LTFRB_3941,"Mater Dei Academy, Santa Maria, Manila",LTFRB_478,"Malaria Road / Purok 2 Intersection, City of San Jose del Monte",02:43:05,4,151,9785.0
LTFRB_1032,"Casanova Drive / Tandang Sora Intersection, Quezon City",LTFRB_41,"St Mary's College, MacArthur Highway, City of Meycauayan",01:30:59,9,74,5459.0
EDSA_20,EDSA Carousel Bus Stop - Guadalupe,LTFRB_3165,"Pasig Blvd, Pasig City, Manila",Infinite,-1,0,inf
LTFRB_3637,"Marcos Hwy, Antipolo City, Manila",LTFRB_4022,"Dr Eduardo V. Roquero Sr. Rd, City of San Jose del Monte, Manila",03:38:42,10,162,13122.0
LTFRB_4152,"San Jose del Monte - Marilao Rd / North Luzon Expressway, Marilao, Manila",LTFRB_4408,"Anapolis, San Juan, Manila",02:06:21,13,102,7581.0
LTFRB_2475,"Quirino Ave, Bacoor City, Manila",LTFRB_3065,"Carlos P. Garcia Ave, Taguig City, Manila",01:33:24,9,62,5604.0
LTFRB_1459,"Jose Abad Santos Avenue / Tayuman Road, Quezon City",LTFRB_4167,"North Luzon Expressway, Marilao, Manila",01:57:46,6,87,7066.0
LTFRB_3029,"Dr Sixto Antonio Ave, Pasig City, Manila",LTFRB_3781,"Shoe Ave, Marikina City, Manila",00:34:00,2,29,2040.0
LTFRB_2194,"Columbia / Albany Intersection, Quezon City, Manila",LTFRB_2211,"Narra, Quezon City, Manila",00:10:27,1,10,627.0
LTFRB_1207,"Tanding Sora Avenue, Quezon City",LTFRB_2427,"Emilio Aguinaldo Hwy, Imus, Manila",02:45:38,16,96,9938.0
LTFRB_4620,"Multinational Avenue, Paranaque City",LTFRB_981,"IBP Road, Quezon City",Infinite,-1,0,inf
LTFRB_4784,"Glen T de Leon, Valenzuela City",LTFRB_654,"North Luzon Expressway / M Gregorio, Valenzuela City",Infinite,-1,0,inf
LTFRB_2868,"National Hwy, Muntinlupa City, Manila",LTFRB_4152,"San Jose del Monte - Marilao Rd / North Luzon Expressway, Marilao, Manila",03:50:59,18,141,13859.0
LTFRB_1958,"A.Apolinario / Gen.P.Garcia Intersection, Makati City, Manila",LTFRB_2115,"Timog Ave, Quezon City, Manila",01:06:34,7,50,3994.0
LTFRB_1617,"T. Pinpin Street / Escolta Intersection, Manila",LTFRB_548,"Hospital, 121.05684",01:36:08,14,78,5768.0
LTFRB_2796,"Congressional Rd,  General Mariano Alvarez, Manila",LTFRB_3562,"Sto. Niño St,  Antipolo City, Manila",04:06:17,14,188,14777.0
LTFRB_4146,"North Luzon Expressway, Marilao, Manila",LTFRB_4817,"M de Leon Street, Santa Maria",Infinite,-1,0,inf
LTFRB_1169,"Quirino Highway, Quezon City",LTFRB_2423,"Emilio Aguinaldo Hwy, Bacoor City, Manila",02:18:36,16,74,8316.0
